segment_start_min,segment_end_min,compound,role,precursor_mz,product_mz,ce_ev,dwell_ms,source
14.9,15.5,syringol,quan,154.0,139.0,15.0,99.17,Agilent; PMC7407152
14.9,15.5,syringol,qual,154.0,124.0,20.0,99.17,Agilent; PMC7407152
14.9,15.5,3MH,quan,134.0,100.0,5.0,99.17,Mateo-Vivaracho 2008/2010
14.9,15.5,3MH,qual,134.0,67.0,10.0,99.17,Mateo-Vivaracho
15.5,15.6,syringol,quan,154.0,139.0,15.0,203.33,Agilent; PMC7407152
15.5,15.6,syringol,qual,154.0,124.0,20.0,203.33,Agilent; PMC7407152
15.6,15.8,syringol,quan,154.0,139.0,15.0,99.17,Agilent; PMC7407152
15.6,15.8,syringol,qual,154.0,124.0,20.0,99.17,Agilent; PMC7407152
15.6,15.8,4-methylsyringol,quan,168.0,153.0,15.0,99.17,Agilent; PMC7407152
15.6,15.8,4-methylsyringol,qual,168.0,125.0,20.0,99.17,Agilent; PMC7407152
15.8,16.5,4-methylsyringol,quan,168.0,153.0,15.0,203.33,Agilent; PMC7407152
15.8,16.5,4-methylsyringol,qual,168.0,125.0,20.0,203.33,Agilent; PMC7407152
16.5,16.6,4-methylsyringol,quan,168.0,153.0,15.0,99.17,Agilent; PMC7407152
16.5,16.6,4-methylsyringol,qual,168.0,125.0,20.0,99.17,Agilent; PMC7407152
16.5,16.6,ethyl-octanoate,quan,172.0,88.0,10.0,99.17,NIST 70eV EI + ester McLafferty (M+. -> m/z 88)
16.5,16.6,ethyl-octanoate,qual,172.0,127.0,15.0,99.17,NIST alkyl-acylium [C7H15CO]+ from M+. loss of OEt
16.6,17.5,ethyl-octanoate,quan,172.0,88.0,10.0,203.33,NIST 70eV EI + ester McLafferty (M+. -> m/z 88)
16.6,17.5,ethyl-octanoate,qual,172.0,127.0,15.0,203.33,NIST alkyl-acylium [C7H15CO]+ from M+. loss of OEt
17.5,18.5,IPMP,quan,137.0,124.0,10.0,203.33,Slabizki/Schmarr 2014
17.5,18.5,IPMP,qual,152.0,137.0,10.0,203.33,Slabizki/Schmarr 2014 (M+. -> loss of CH3)
18.5,19.5,TCA,quan,210.0,195.0,15.0,64.44,Pollnitz 1996; Agilent 5990-4968EN
18.5,19.5,TCA,isotope,212.0,197.0,15.0,64.44,Pollnitz 1996
18.5,19.5,TCA,qual,210.0,167.0,25.0,64.44,Agilent 5990-4968EN
18.5,19.5,linalool,quan,93.0,41.0,10.0,64.44,NIST; Lukić 2019; Vichi 2007
18.5,19.5,linalool,qual,93.0,69.0,15.0,64.44,NIST
18.5,19.5,linalool,confirm,121.0,93.0,10.0,64.44,NIST
19.5,20.5,2-MIB,quan,95.0,67.0,15.0,203.33,Agilent 5991-1031EN
19.5,20.5,2-MIB,qual,108.0,95.0,5.0,203.33,Agilent 5991-1031EN
20.5,21.5,SBMP,quan,138.0,124.0,10.0,203.33,Slabizki/Schmarr 2014
20.5,21.5,SBMP,qual,138.0,123.0,10.0,203.33,Slabizki/Schmarr 2014
21.5,22.5,IBMP,quan,124.0,94.0,15.0,99.17,Hjelmeland 2010; Allamy 2018
21.5,22.5,IBMP,qual,124.0,81.0,20.0,99.17,Schmarr; Antalick
21.5,22.5,ethyl-decanoate,quan,200.0,88.0,10.0,99.17,NIST 70eV EI + ester McLafferty (M+. -> m/z 88)
21.5,22.5,ethyl-decanoate,qual,200.0,155.0,15.0,99.17,NIST alkyl-acylium [C9H19CO]+ from M+. loss of OEt
22.5,23.5,TBA,quan,346.0,331.0,15.0,99.17,Ebeler 2012 AJEV
22.5,23.5,TBA,qual,346.0,329.0,15.0,99.17,Ebeler 2012
22.5,23.5,alpha-terpineol,quan,121.0,93.0,10.0,99.17,NIST consensus
22.5,23.5,alpha-terpineol,qual,121.0,81.0,15.0,99.17,NIST
23.5,24.5,geosmin,quan,112.0,97.0,10.0,203.33,Agilent 5991-1031EN
23.5,24.5,geosmin,qual,182.0,112.0,10.0,203.33,Agilent 5991-1031EN
24.5,25.5,2-phenylethanol,quan,91.0,65.0,15.0,203.33,NIST; Razaq 2023
24.5,25.5,2-phenylethanol,qual,122.0,91.0,10.0,203.33,NIST
26.5,27.5,TDN,quan,172.0,157.0,15.0,203.33,Sacks 2012 JAFC; AWRI
26.5,27.5,TDN,qual,172.0,142.0,20.0,203.33,AWRI
27.5,28.5,beta-damascenone,quan,190.0,121.0,10.0,78.33,Schreier/Wuest 2016 ABC
27.5,28.5,beta-damascenone,qual,190.0,105.0,12.0,78.33,Schreier/Wuest 2016
27.5,28.5,beta-damascenone,confirm,190.0,69.0,15.0,78.33,Schreier/Wuest 2016
27.5,28.5,2-phenethyl-acetate,quan,104.0,91.0,10.0,78.33,NIST (ketene loss -> styrene -> tropylium m/z 91)
27.5,28.5,2-phenethyl-acetate,qual,164.0,104.0,5.0,78.33,NIST (M+. -> loss of ketene CH2=C=O)
29.5,30.5,alpha-ionone,quan,192.0,177.0,10.0,99.17,Schreier/Wuest 2016
29.5,30.5,alpha-ionone,qual,192.0,121.0,15.0,99.17,Schreier/Wuest 2016
29.5,30.5,sotolon,quan,129.0,55.0,15.0,99.17,Foods 2019 PMC6311786
29.5,30.5,sotolon,qual,129.0,83.0,15.0,99.17,Foods 2019
31.5,32.5,beta-ionone,quan,192.0,177.0,12.0,203.33,Schreier/Wuest 2016
31.5,32.5,beta-ionone,qual,192.0,91.0,20.0,203.33,Schreier/Wuest 2016
36.7,37.7,hexanal-PFBHA,quan,181.0,161.0,15.0,203.33,Razaq 2023 JAFC
36.7,37.7,hexanal-PFBHA,qual,239.0,181.0,15.0,203.33,Razaq 2023
43.1,44.1,methional-PFBHA,quan,252.0,181.0,10.0,411.67,Razaq 2023
49.3,50.3,phenylacetaldehyde-PFBHA,quan,181.0,161.0,5.0,203.33,Razaq 2023
49.3,50.3,phenylacetaldehyde-PFBHA,qual,91.0,65.0,15.0,203.33,Razaq 2023
